channel_name,par_q,avg_err_q,par_a,avg_err_a,par_c,avg_err_c
academia,[ 5.8929177   0.47341414 -0.0738918   0.06492342],27.96643747,[ 12.21186504   0.93543695   0.1467322    0.12895557],31.6428391,[ 25.15954892   1.97273732   0.37733162   0.94845662],37.2925887
android,[ 4.82376694  1.50574714 -0.12881061 -0.0268324 ],28.33717283,[ 10.910792     0.3829901    0.34916802   0.08625112],34.7026998,[ 13.28450051   0.80785975   0.52344387   0.7717924 ],43.19505302
anime,[ 7.30963387 -0.01001839  0.19467204 -0.02667416],27.07008455,[ 7.17242407  0.27205085  0.35986524  0.00893865],48.023989,[ 16.9283306   -0.231391     0.16545258   0.65841788],51.58198092
apple,[ 4.51781802  1.44243928 -0.07259331  0.05182435],25.11233522,[ 9.22870059  0.27856746  1.04253518  0.09267195],25.12699293,[ 11.50894605   1.46960555   0.46129885   0.78701997],28.16414503
arduino,[ 6.80112022  0.49235226 -0.0921236  -0.06330854],20.83565597,[ 6.96364309  0.18520414 -0.04654917  0.12517354],inf,[ 23.32814225  -1.51828793   0.079824     0.8083556 ],39.39744239
astronomy,[ 5.74409039  0.2538429   0.21870653 -0.07427556],15.68268424,[ 7.05334048  0.1478351   0.50073316 -0.06303089],46.43933029,[ 17.30579318  -2.03774892   2.72651092   0.30856298],57.53244196
aviation,[  6.25708167e+00  -6.28525142e-02   2.13648764e-01   5.77526762e-03],24.9125898,[ 10.98355687   0.5214265    0.29115995   0.05175056],33.62443382,[  3.63780322e+01  -3.46131408e+00  -1.44638708e-02   1.21404642e+00],35.50043013
avp,[ 5.56398059 -0.34286812  0.39101024  0.07216362],11.05985215,[ 5.97945681  1.02014372  0.0849688  -0.21450191],36.55282326,[ 13.42773226   1.31739997  -1.70692763   0.90216227],inf
beer,[ 6.40220044  0.40637803  0.07835396 -0.14688321],10.27494863,[ 8.08585718  7.22105584 -2.42197887  0.06612104],7.269266397,[ 12.50375008   8.49825753   0.91450642  -1.81303033],13.33197591
bicycles,[ 6.02858711  0.12805018  0.09837518 -0.03707167],17.06094672,[ 12.16262556   0.73756646   1.17113682  -0.35743614],37.51876808,[ 30.11347812   1.1115053   -0.48774777   0.66208225],36.45415025
biology,[ 6.26031274  0.36740032 -0.03226166  0.0596178 ],26.43291445,[ 6.4744543   0.32115435  0.42640919  0.03504564],inf,[ 16.33919366  -0.09532893  -0.27602079   1.1198852 ],inf
bitcoin,[ 4.91095997  0.7173426   0.37532756 -0.08134446],29.54556127,[ 6.16163244  0.87023706  0.7295435  -0.05946262],44.85201491,[ 12.34726409   0.93684159   0.69206894   0.46162461],51.52737663
blender,[ 5.21697357  0.6866945  -0.18914517  0.15769891],31.27068751,[ 7.41623664  0.37818944  0.34478203  0.07301525],35.24403425,[ 11.05285768   1.95037745  -0.34716163   0.91626505],37.52929269
boardgames,[  5.87139111e+00  -2.30147340e-01   2.86418076e-01  -4.02946372e-03],17.16220071,[  8.48414660e+00  -1.60756799e+00   1.64550481e+00  -2.98477022e-03],40.61933449,[ 16.83742811  -1.1517074    0.24028794   0.99166913],78.22783318
bricks,[ 6.21410264 -3.26505813 -1.21826483  1.46557183],10.39257619,[ 4.28673637  2.39261089 -8.32569046  5.98587796],41.17596891,[ 9.08023605  3.54301767 -9.14669585  6.76382377],35.53337988
buddhism,[ 5.83084381 -0.30122221  0.23053673  0.06450149],22.61497673,[ 12.24981252  -1.39002872   1.14976599   0.1471014 ],38.34134855,[ 16.74660053  -0.067918     0.84362548   0.65865672],53.22510503
chemistry,[ 5.49924444  0.5589298   0.10222557  0.06500729],27.7487842,[ 5.52702689  0.62847441  0.3827349   0.10766318],42.82441738,[ 11.35361366   1.55696899   0.72576361   0.59857704],45.63289632
chess,[ 5.56902095  1.22079162  0.10708775 -0.32118842],11.94177082,[  7.57822969  12.0890112   -2.89259954  -1.44213303],43.30446658,[ 16.70528781   1.3347155   -0.33193587  -0.25974595],32.55929347
chinese,[ 6.010277   -0.21713288  0.19771194  0.00999771],17.2770084,[ 11.305227     0.92223256  -0.02386979   0.10646183],35.97710406,[ 19.80558289  -3.50016772   0.55992731   1.31457892],49.7370856
christianity,[ 5.33850764  0.40840658  0.28377937 -0.03107424],25.90864345,[ 9.60596941  1.15931046  0.89627956 -0.06795875],38.86625768,[ 35.98914414  -1.1712276    2.92114106   0.20713658],43.77952303
codegolf,[  5.74558809e+00   1.32110537e-01   2.08599871e-02   1.03742910e-03],17.48596095,[  3.98966772e+01  -1.95980812e+00   1.08499149e+00  -2.43589584e-03],38.96698581,[ 114.70316482  -10.84799396    0.80590725    0.90895053],36.72078186
codereview,[ 3.88710055  0.94932124  0.17689958  0.02308026],32.38039597,[ 5.65756091  0.51706858  0.82433899  0.11619342],35.55936146,[ 10.34925145   1.27415982   1.35057244   0.76610409],42.60757529
coffee,[  5.93009261  23.35869367 -13.4258709   -0.80833226],3.645690084,[  7.2784604   21.16017334 -13.00193614  -0.58276609],34.16451062,[ 24.29256578  56.60923482 -29.97689504  -2.68902984],37.87524361
cogsci,[ 5.745598    0.46585954 -0.22724535 -0.00713799],14.12251701,[ 4.63438321 -0.10372336  0.7941517  -0.06979024],inf,[ 13.39786383  -2.3489455    2.64945924   0.64400504],62.3512106
cooking,[ 6.0309348   0.0114649   0.39278638 -0.08051599],26.51814757,[ 11.14948714  -0.44318819   1.77052084  -0.322849  ],34.79981393,[ 24.84652594  -0.36041896   1.12233116   0.31190487],41.59746791
