channel_name,par_asker,avg_err_asker,par_answerer,avg_err_answerer,par_commenter,avg_err_commenter
academia,"[ 5.08541399  0.04032058 -0.99149094 -0.64720274 -0.92323841  3.73888571
  1.10583206  0.01002246  3.13059483 -1.3028815 ]",27.0884593285,"[ 8.84285016  0.98439355  0.83117252  1.70781291  0.18644554  1.73928929
  0.05336074  0.40990331  0.85219389  1.81745412]",28.6584723105,"[  1.15812046e+01   5.24848317e-06  -9.62453355e-01   2.08789215e+00
   1.00648193e-03   4.71052285e+00  -3.41183254e+00   6.21463774e+00
   6.12820516e-01   4.65156028e+00]",27.1922527583
android,"[ 4.25849021  0.22625801 -0.61659935 -0.5965355   1.8126916   4.99009051
  2.50079804 -0.00778336  5.08360591 -1.60796369]",27.1023739704,"[  7.22174348e+00   6.75459689e-01   1.46872417e+00   1.06787960e+00
   7.91007243e-05  -6.05055772e-01   7.31786457e+00   2.13765270e+00
   5.44191262e-01   6.67962343e+00]",28.6927563238,"[  9.98743179e+00   6.15206319e-02  -2.56565664e-01   4.33950613e+00
   1.76186164e-04  -6.43986429e-01   5.74085489e+00   1.59083716e+00
   2.13531842e-01   7.95996630e+00]",29.2101127046
anime,"[  4.87999785e+00   5.68128011e-04   4.71111609e+00  -3.21098172e+00
   1.35180296e+00   4.87970984e+00   4.01609892e+00   1.65839370e-01
   4.15234429e+00   6.27030788e-01]",26.2481294433,"[  5.50329818e+00   1.34104411e-01   2.56341821e+00  -6.24850283e-01
   9.73492706e-01   2.76352199e+00   3.14692885e+00   1.49194333e-03
  -4.32828062e-01   5.19077402e+00]",41.8373050398,"[  9.02481342e+00   6.02612199e-03   2.63593227e+00  -2.58493355e+00
  -1.09441086e+00   1.47348281e+00   1.69641127e+00   1.04677947e+00
   6.41786896e-01   2.09024415e+00]",37.8645820823
apple,"[ 2.64407984  0.56108033  0.06695134  0.67582755 -0.16419885  2.51098961
  0.64477219  0.3181717   0.44248256  3.19354868]",23.8446873502,"[ 6.43844813  0.12697704 -0.07207976  2.94830015  2.83710768  0.58785536
  3.62458619  0.03802466 -0.31452898  2.94345317]",21.4637051113,"[  1.00541697e+01   4.85866915e+00   1.83904450e-01   1.26429917e+01
   3.07607036e-03  -4.05348380e-01   6.98893013e+00   4.58521414e+00
   2.47322462e-01   1.03219873e+01]",21.4955100958
arduino,"[  5.44072340e+00   2.34225837e-03   3.91273973e+00  -3.07902994e+00
  -6.99420683e-01   1.53445089e+00   2.12483859e+00  -4.48724036e-04
   3.12006135e+00  -3.28538297e+00]",22.6437854123,"[ 5.39536134 -1.01471882  1.37943512  1.64432628 -0.72816377  1.43914441
  1.77621514  1.13148903  1.48215466  1.20799516]",inf,"[ 11.19154722  -0.69235856   1.70075172   0.79139688   0.60829743
   2.13116385   0.31235344   0.48710791   1.03626552   1.0023666 ]",28.327261971
astronomy,"[  5.28130503e+00  -1.34446502e+00   4.47697719e+00   5.91971145e-01
   2.59174587e-01   1.43136262e+00  -1.20811121e-01  -4.43513981e-03
   3.34610668e+00  -1.87313231e+00]",16.343545709,"[  5.28649914e+00  -6.46479380e-05   5.48093319e+00  -4.47126906e+00
   1.16664220e-04   4.66453805e+00  -4.25962372e+00   2.09704331e-04
  -5.85792045e-01   5.80654892e+00]",44.7149632208,"[ 9.76513073 -0.68097585  1.38349926 -0.39777402  0.91253842  2.60027227
  1.7133093   0.13132308 -0.99441177 -0.80104857]",33.6700169665
aviation,"[ 5.3905215  -0.4014668   1.01671583  2.7680431   1.13517276  1.9530648
  1.91363012  0.05908516  2.34570167  0.33164683]",23.1476704564,"[  8.25923824e+00   1.14217258e-01  -5.87499824e-02   6.45510324e+00
  -4.10395608e-04   3.26223367e+00  -3.25314592e+00   3.91971180e-02
   3.98597488e+00  -1.05027770e+00]",31.126655437,"[ 16.43872061  -1.6868787    3.08997965   2.26071763  -3.16502096
   3.98220641   1.44180214   0.38233617   1.68837472  -0.16366773]",29.7107249199
avp,"[  5.17166990e+00  -6.50266799e-08  -7.57003478e-01   7.01601315e+00
  -2.02778102e+00   2.14600209e+00   1.95517945e+00   1.34896060e-04
   7.44827612e+00  -3.46553679e+00]",14.1869908703,"[  3.49992219e+00   5.54699373e-02   2.08606294e+00  -1.66451335e+00
   1.47188089e+00   1.62319596e-01   5.26709178e+00  -2.43429728e-04
  -6.72811871e-01   5.73479861e+00]",38.9805463826,"[  6.20811637e+00  -2.03016396e+00   1.38519821e+01   8.09425882e+00
  -2.33944600e-05   7.42518106e+00  -5.23457925e+00   2.27833369e-02
   6.66900842e+00  -2.25086109e+00]",inf
beer,"[  5.95235683e+00   3.88144540e+00   7.17240302e+00   3.67376944e-01
  -4.95600525e-01   1.56746827e+00   4.19147333e-01  -8.44446182e-04
  -4.73666767e-01   6.67950676e+00]",3.0712031392,"[  7.68700859e+00   1.18988800e+04   9.24297783e+00   2.98203230e+00
  -1.10667378e+04   1.57722437e+01   2.62251580e+00  -9.03985486e+03
   4.50571723e+03   7.14792389e+02]",8.38743564464,"[  1.04226305e+01   8.74978944e+03   7.40751472e+00   3.37004298e+00
   1.27068943e+04   4.24830359e+00   4.62321997e+00  -4.83438935e+01
   2.72657960e+00   2.08771383e+00]",8.80693005769
bicycles,"[ 5.61977236  0.02590748 -0.90099815 -0.30808721 -0.81528659  1.52503968
  3.69019939 -1.05863492  1.43030502  3.3531461 ]",18.859970797,"[  9.76443911e+00   8.04226920e-01   3.11986522e-01   3.97487486e+00
   1.25404765e-01   1.05662580e+00  -9.78094127e-01  -5.91047448e-03
   5.59648751e+00  -2.08079961e+00]",33.2516860115,"[ 14.99008679   2.15686595   0.4534415    3.19807239  -0.48865584
   5.63886804  -0.36363302   0.17015975   0.51107675  -0.65974769]",26.2632709985
