channel_name,par_asker,avg_err_asker,par_answerer,avg_err_answerer,par_commenter,avg_err_commenter
academia,[ 5.43447186  0.47072842 -0.19006479  0.16780436],27.8439138423,[ 9.24875243  0.44039722  0.07217105  0.30638022],28.7383889046,[ 13.87283137   0.33590895  -0.02118182   1.21066749],27.4943448465
android,[ 4.14020336  1.48203226 -0.02514306 -0.09174182],28.301512619,[ 7.16610701  0.38784415  0.38419824  0.08837061],29.0844614656,[ 8.93910137  0.52673835  0.3439443   0.55000159],30.0915828786
anime,[ 5.40232073  0.02783823  0.09133055  0.13065926],26.8386631234,[ 5.84692798  0.40063811  0.0621323   0.10115965],42.072416345,[ 9.67493088  0.32557482 -0.19846357  0.60965925],38.4554472228
apple,[ 3.5214231   1.42364957 -0.02794944  0.08280422],24.5770813656,[ 7.59619123  0.34605977  0.76738963  0.17831006],22.6039798203,[ 8.28746113  0.92870766  0.43314381  0.59572529],22.1649226872
arduino,[ 6.28334097  0.36733796 -0.1636496  -0.01459579],24.043147385,[ 5.64973217 -0.25969532 -0.20492401  0.47007742],inf,[ 11.73511684  -0.34566815  -0.14490415   0.66342116],28.344857116
astronomy,[ 5.18410995 -0.17445474  0.32586641 -0.10345385],16.3844354648,[ 5.17570231 -0.16342357  0.03549502  0.22014733],44.6846553041,[ 9.39502528 -1.30453573  0.0802936   1.00059756],34.6104570084
aviation,[ 5.54608436 -0.11159105  0.16679489  0.04871331],23.4234631131,[ 8.76513127  0.03919844  0.08932343  0.22434314],31.7597139429,[ 19.05410294  -2.65683738  -0.37035357   1.47519879],27.5196406643
avp,[ 5.22522805 -0.16511171 -0.16585301  0.33324095],14.5452972578,[ 3.69199286  0.36175294  0.90051603 -0.34745454],40.9347826843,[ 6.25924489  0.54533299 -1.4999488   1.22575127],inf
beer,[ 6.97410994  0.17487938 -0.17796411 -0.18472519],4.5056225711,[ 6.68148498  3.17447755 -1.37055659  0.29727732],8.4885285152,[ 9.73650211  2.10300744  3.27944495 -2.34210757],8.82841733886
bicycles,[ 5.63910959  0.26407615 -0.02640267 -0.03473329],18.8771695886,[ 9.74164496  0.71783389  0.63789388 -0.38044308],33.6029336684,[ 15.25115284   1.04644028  -0.69031161   0.64117668],26.6350071088
biology,[ 5.33549663  0.27408922 -0.17076748  0.24587706],26.4844790855,[ 4.98385643  0.27994403  0.11003748  0.13313618],inf,[ 9.15039232  0.34721298 -0.60719811  1.02063073],inf
bitcoin,[ 3.88797669  0.83769518  0.29426195 -0.02689285],31.5865603732,[ 4.63341887  0.73268686  0.65775204 -0.0864843 ],39.1603283678,[ 6.92972328  0.82342635  0.39555168  0.36482468],34.21610886
blender,[ 3.95530239  0.43854416 -0.25705031  0.53462559],30.8720939184,[ 4.87790221  0.22813611  0.26797311  0.18324145],29.9902318428,[ 5.32977403  0.61469154  0.01887364  0.95192131],23.2111980168
boardgames,[ 4.75892553  0.23568503  0.29340002 -0.14088771],23.4624890547,[ 6.70167399 -0.64362792  0.88016952  0.18358057],40.368600537,[ 9.90919942 -0.37822545  0.13414377  0.82794925],53.3361197172
bricks,[ 5.06639252 -3.79276866 -0.60686965  1.71518594],9.83288118016,[ 3.57412179  1.10385754 -5.47715657  4.54858271],27.0845266003,[  4.91751045  11.11099261  -6.21991177   2.21672317],20.596549727
buddhism,[ 4.1973909  -0.20099221  0.34646898  0.07193381],25.464113474,[ 6.96069207  1.39738066 -0.17066782  0.21772386],26.1782016351,[ 8.28779412  1.03634438  0.65829441 -0.19535332],31.0340391131
chemistry,[ 4.78659936  0.37597701  0.07065911  0.27115305],27.9211184776,[ 3.72241753  0.43386543  0.18608836  0.27429155],36.4417882186,[ 6.1573249   0.55326512  0.46267921  0.65630036],27.8881684159
chess,[ 4.54985562  0.25764013 -0.57143873  0.37130811],19.9286490304,[ 5.57178919  0.49039824 -2.32397128  2.44205265],36.3268210273,[ 8.17147001  1.65772775 -1.32968007  0.3461766 ],23.1295465954
chinese,[ 4.56216467 -0.31210776  0.26658982 -0.08926949],28.7337373864,[ 7.9563093   1.69281353  0.94357227 -1.17518776],31.1827657783,[ 10.22812353   0.40430494   0.58501536  -0.21370809],33.0625380269
christianity,[ 4.5765864   0.71961574  0.23906067 -0.14136805],27.150913222,[ 8.1261435   1.21388468  0.66970289 -0.22476354],32.954090768,[ 15.7705116    1.33008164   0.34923575   0.17376715],27.7614175753
codegolf,[  5.46978031e+00   1.66750908e-03   3.57759538e-02   4.64617065e-03],19.2358392622,[ 30.95297042  -2.78987802   0.98975159   0.13787796],35.3096249127,[ 50.16715638  -7.17271851   0.60872106   0.9456802 ],33.4548913861
codereview,[ 3.65289249  0.93690004 -0.04920794  0.20286413],32.0607332736,[ 6.04194143  0.53766483  0.19323421  0.36259577],31.9010959788,[ 7.38417044  1.05091574  0.10848577  0.98042516],33.2250944022
coffee,[ 5.58050417 -0.13564213 -2.74585591  0.93200101],11.7323069564,[ 4.26247738 -1.20898087 -2.71246625  1.78831443],13.922444651,[ 11.01603537  -3.67294641 -15.99353587   9.08392225],26.9728852236
cogsci,[ 4.80321428  0.77999699 -0.43729393 -0.10658271],21.0505232814,[ 3.56773388  0.22539469  1.32116283 -0.64372719],inf,[ 7.02115071 -1.81643281  1.74393102  0.78139623],33.699401861
cooking,[ 5.52687268  0.42915372  0.4766144  -0.27349303],26.6698406792,[ 8.40297833  0.52158922  1.3302595  -0.50596624],31.2054784339,[ 13.43281009   0.38947383   0.70478529   0.08447526],29.3142134125
craftcms,[ 8.08881163 -0.15002274  0.17110164  0.17851688],31.4335622812,[ 6.02750437 -0.14837511  0.31337436  0.1897882 ],37.3069601813,[ 10.48917348   0.31443052   0.58543813   0.06957063],36.3084785204
crypto,[ 6.00652956  0.13533169 -0.02408669  0.07240345],22.4287072304,[ 5.75526658  0.19944254  0.09341049  0.06594836],37.6625742129,[ 13.05502753   0.40294944   0.47942961   0.23431221],32.4171141821
cs,[ 5.65605701  0.77760428 -0.25755166  0.10128586],28.3751079548,[ 6.44078624  0.27290695  0.29541616  0.02374571],32.0874901249,[ 13.23655238   0.82633879   0.25181912   0.23136067],25.2274645199
cstheory,[ 6.11482629 -0.13063211  0.2380385  -0.01677016],19.9033129715,[ 6.04011724 -0.27276935  1.41016119 -0.15346492],inf,[ 15.99769712  -1.37637306   0.73643161   0.70898557],28.176984804
datascience,[ 5.16968592 -1.29725827  0.4543662   0.4067952 ],10.3513899159,[ 4.95409107 -2.97588175  1.004907    1.25684749],inf,[ 6.61007678 -4.18144578  1.76487485  1.30498012],59.2802643016
dba,[ 9.36991556  1.25529288 -0.63556053  0.17227354],53.1430216524,[ 12.49016821   0.59519535   0.08927149   0.055281  ],43.413892871,[ 18.94079013   1.75164091  -0.59523022   0.46988678],45.6187504441
diy,[ 4.96160242  1.1145656  -0.16468425  0.01876734],29.361024685,[ 7.51368603  0.77955762  0.00945036  0.07875777],29.4913730874,[ 10.97514805   1.43575943  -0.16855957   0.38121779],29.0603957889
drupal,[ 13.60941641   0.94224845  -0.48884258   0.31219071],42.7637125975,[  1.24707912e+01   3.16936104e-01  -5.46378247e-03   3.87830284e-01],38.4294893651,[ 17.51642848   0.54603816  -0.38953283   0.90841716],39.3946447819
dsp,[ 6.12082024  0.18598569  0.03849275  0.04669473],25.2381702095,[ 5.75708566 -0.09655579  0.32123126  0.05767311],42.7231558845,[ 11.17618468  -0.22531075   0.61420724   0.29607063],36.1745369783
earthscience,[ 4.74313725 -0.7848345   0.73007822 -0.12649524],29.7455166762,[ 3.88237167  0.41709057  0.16186026  0.37802579],inf,[ 8.7286397  -2.07885932  0.51813141  1.37955047],71.6249818178
ebooks,[ 3.62185608 -2.45179807  0.78804738  1.06531753],7.06299893571,[ 5.07441565 -8.52781165  1.38996775  3.95100247],31.2385385615,[ 5.84037401  0.94050287  8.62172649 -5.76709438],45.5788557617
