channel_name,par_asker,avg_err_asker,par_answerer,avg_err_answerer,par_commenter,avg_err_commenter
academia,"[ 5.23154434  0.19805613  1.27727538 -0.04567434 -0.0299413   0.02571495
 -0.75209403]",27.1756725897,"[  8.53177337e+00   2.18901475e-01   1.28058665e+01   2.40354643e-02
  -1.81603221e+00   9.73888787e-02   4.01573142e+01]",28.4845007185,"[  1.23332117e+01   4.03290600e-03  -3.46949707e+00   8.10855750e-06
  -7.09825219e+00   4.36512023e-01   1.19792653e+00]",26.7192527963
android,"[  3.90147787   0.25645741  -0.66640077  -0.05582041  -1.06801683
   0.07273082  18.25040322]",26.8115495692,"[  7.20840939   0.11653606   0.30200738   0.17647282  22.94661491
   0.07701291  16.83878429]",28.6304007218,"[  9.98994277   0.30359948  11.29983269   0.18624961  18.16521701
   0.28147776  24.3572406 ]",29.2011019473
anime,"[  4.87070851e+00   9.89669467e-02  -8.67926439e-01  -1.86471472e-02
  -1.20851354e+00   1.24642260e-05  -5.44331274e+00]",26.3326144783,"[  5.50575541e+00   9.19013614e-02  -7.61117315e-01   2.18785238e-04
   1.69278214e+00   4.84858227e-02   1.24337916e+01]",41.8407607972,"[ 9.03655381  0.03622094 -1.94838993 -0.0762952  -0.35999646  0.22140516
  0.98750151]",37.8387319612
apple,"[  3.57686136   0.44754129   0.34941826  -0.03647963  -0.54860139
   0.10535082  17.17215625]",24.0685672775,"[  7.6522097    0.19104527  19.07014261   0.25652724   0.78413806
   0.13439836  18.9770376 ]",22.0033895446,"[  5.99192859e+00   5.07845076e-01   1.10546873e+01   4.26171687e-06
  -7.80155645e+00   3.68814686e-01   2.03191622e+01]",20.50265107
arduino,"[ 5.40753376  0.04535915 -1.95107246  0.00804019 -2.10767157 -0.01882009
 -1.82413084]",22.7491205754,"[ 5.37548554 -0.09796701  1.20974672 -0.07923241  1.6495511   0.16470523
  0.52648354]",inf,"[ 11.48923372  -0.10791591  -0.20386663   0.01367487  -2.17123903
   0.20776025   1.39407945]",28.1391235961
astronomy,"[ 5.2775564  -0.07496138 -0.71667097  0.11228214 -0.60284023 -0.01762653
 -1.28166941]",16.3558338978,"[  5.28538203  -0.02688559  -2.32519784   0.01947393  -2.43057479
   0.08539332  12.00199052]",44.6680835146,"[  9.76976281  -0.50683408  -0.46198836   0.29304265  20.31346443
   0.2708639   -0.26831363]",33.8693074358
aviation,"[ 5.38465628 -0.02748086  2.07028865  0.0432632   0.1882653   0.01432804
 -0.10971036]",23.1616261871,"[  8.17813358   0.1494216   14.45817355  -0.01462073   2.85631752
   0.04931611  -0.58937031]",31.2076095308,"[  1.76477942e+01  -1.40770364e-01  -2.12517272e+00   1.41585194e-04
  -5.83010675e+00   2.65706367e-01  -5.09640722e-01]",27.3327827529
avp,"[  5.18914927e+00  -6.90700857e-02   5.06626980e+00   4.37005836e-02
   1.80165630e+00   1.98093457e-03  -3.26027644e+00]",14.1789818244,"[  4.01058789e+00   2.89545160e-05  -7.66189262e+00  -2.75731804e-03
  -4.82357314e+00  -7.34602214e-03   1.15007547e+01]",39.9246725578,"[ 6.13373992  0.11033484 -1.43273983 -0.25837458 -1.80037255  0.23370747
 -1.30062413]",inf
beer,"[  6.00843196   0.19889309  -0.8849299   -0.13103336  -0.40600235
  -0.11100624  19.8361924 ]",3.14939870565,"[  8.24885941   1.19395549  -0.35400187  -0.34173843  -0.84574548
  -0.10867598  23.945969  ]",9.11541762639,"[ 11.56101827   0.42540735  -0.03787427   1.17904341   1.1721338
  -0.69052937   0.39301822]",9.0790122402
bicycles,"[ 5.60651428  0.10266666  0.67748647 -0.01324959  1.52432281 -0.01255878
  1.01004457]",18.8488596414,"[ 9.76813411  0.19834056  4.59616639  0.13170009 -0.92370119 -0.0464655
 -1.25373941]",33.2697500939,"[ 14.9743263    0.46035806   2.54644757  -0.14743871  -0.83103523
   0.14598404  -0.75560222]",26.2555644497
